Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2,Gender
Lukas Lacko,Novak Djokovic,1,0,0,3,61,35,39,18,5,1,17,29,1,3,8,11,70,3,6,1,NA,NA,68,45,32,17,10,0,40,30,4,8,8,9,101,6,7,6,NA,NA,0
Leonardo Mayer,Albert Montanes,1,1,3,0,61,31,39,13,13,1,13,1,7,14,,,80,6,6,6,NA,NA,60,23,40,9,1,4,1,4,0,0,,,42,1,3,1,NA,NA,0
Marcos Baghdatis,Denis Istomin,1,0,0,3,52,53,48,20,8,4,37,50,1,9,16,23,106,4,5,4,NA,NA,77,57,23,15,9,1,41,41,4,13,12,16,126,6,7,6,NA,NA,0
Dmitry Tursunov,Michael Russell,1,1,3,0,53,39,47,24,8,6,8,6,6,9,,,104,6,6,6,NA,NA,50,24,50,19,1,8,1,8,1,7,,,79,2,2,3,NA,NA,0
Juan Monaco,Ernests Gulbis,1,0,1,3,76,63,24,12,0,4,16,35,3,12,9,13,128,6,4,6,2,NA,53,59,47,32,17,11,59,79,3,5,16,28,127,1,6,7,6,NA,0
Santiago Giraldo,Sam Querrey,1,0,1,3,65,51,35,22,9,3,35,41,2,7,6,12,108,3,2,6,6,NA,63,60,37,22,24,4,47,45,4,7,14,17,122,6,6,3,7,NA,0
Dudi Sela,Jarkko Nieminen,1,0,2,3,68,73,32,24,5,3,41,50,9,17,14,30,173,6,6,7,3,3,60,66,40,34,2,6,57,72,10,17,25,36,173,3,7,6,6,6,0
Fabio Fognini,Alex Bogomolov Jr.,1,1,2,0,47,18,53,15,3,4,21,31,6,20,6,9,78,6,6,NA,NA,NA,54,26,46,13,0,11,11,46,2,6,8,12,61,3,2,NA,NA,NA,0
David Guez,Richard Gasquet,1,0,0,3,64,26,36,12,3,,20,39,3,7,5,14,67,5,4,1,NA,NA,67,42,33,14,12,,32,20,7,10,8,11,94,7,6,6,NA,NA,0
Nikolay Davydenko,Lukasz Kubot,1,1,3,2,77,76,23,11,6,4,6,4,7,24,,,162,3,6,3,6,6,60,68,40,25,8,12,8,12,6,14,,,141,6,3,6,3,4,0
Pablo Carreno Busta,Julien Benneteau,1,0,2,3,53,46,47,35,7,7,47,58,4,5,19,33,126,3,6,6,1,2,66,62,34,24,16,4,49,46,7,19,30,43,152,6,3,4,6,6,0
Tommy Robredo,Lukas Rosol,1,1,3,2,57,62,43,43,13,0,50,38,6,18,15,19,177,6,6,3,7,8,51,72,49,41,11,12,82,96,3,7,28,44,152,1,7,6,6,6,0
Samuel Groth,Vasek Pospisil,1,0,0,3,65,40,35,17,16,4,35,25,0,2,20,43,74,4,3,4,NA,NA,67,45,33,13,6,4,31,17,4,10,6,10,94,6,6,6,NA,NA,0
Nicolas Mahut,Matthew Ebden,1,0,2,3,64,63,36,23,7,4,49,57,6,15,24,46,137,3,5,6,6,3,67,58,33,23,7,7,45,55,6,12,28,37,131,6,7,4,0,6,0
